"f","question","category","source","decision_manual","ollama","openai","sampled_by"
"601","How can I customize IGMP settings to support IGMP proxy on the downstream UDL device?","ROUTING","coincidencia","ROUTING","","",""
"1486","How do I enable SNMP Manager feature on Cisco ASR 1000 series routers running Cisco IOS XE Release 2.1?","MONITORING","coincidencia","MONITORING","","",""
"4225","How do you configure IPv6 on a tunnel interface in Cisco IOS?","ROUTING","coincidencia","ROUTING","","",""
"4460","How do you enable overhead accounting for bandwidth on gaming and class-default classes in a child policy map named subscriber_classes?","QOS","coincidencia","QOS","","",""
"4135","How can we configure the RADIUS attribute 8 Framed-IP-Address in Access Requests on a Cisco router?","SECURITY","coincidencia","SECURITY","","",""
"913","How can we prioritize LACP (Link Aggregation Control Protocol) in a Cisco router?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"4279","How can you enable global configuration mode and enable system message logging to a local buffer with severity-based limits in Cisco IOS?","MONITORING","coincidencia","MONITORING","","",""
"395","How can we monitor the NAT translation information?","MONITORING","coincidencia","MONITORING","","",""
"1770","How do I enable privileged EXEC mode and display RADIUS servers configured in the global configuration mode?","SECURITY","coincidencia","SECURITY","","",""
"3180","What commands are needed to redistribute connected and static routes for VRFs cust1 and cust2, and originate default information?","ROUTING","coincidencia","ROUTING","","",""
"1773","What is the purpose of the Dynamic Per VRF AAA feature in Cisco IOS XE Release 2.4 and later releases?","SECURITY","coincidencia","SECURITY","","",""
"3046","How can we enable IPv6 NHRP Redirect and Shortcut features on our dual-stack device to optimize routing and trigger NHRP when necessary?","ROUTING","coincidencia","ROUTING","","",""
"123","How do you configure the receiver on the responder to enter IP SLA Y.17.31 delay configuration mode?","MONITORING","coincidencia","MONITORING","","",""
"659","How can we configure an RGMP-enabled router to prevent it from sending an RGMP leave message until it stops receiving or forwarding traffic for a specific multicast group?","ROUTING","coincidencia","ROUTING","","",""
"742","What IP address range would you allocate for the Auto-IP ring and how would you configure one port as the seed port in the Auto-IP ring?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1587","What commands can you use to configure AAA security services for login authentication methods?","SECURITY","coincidencia","SECURITY","","",""
"3484","How can we adjust the default scheduling length per packet to achieve a specific behavior?","QOS","coincidencia","QOS","","",""
"4141","What is the role of an L2TP Access Concentrator (LAC) in setting up tunnels with the customer tunnel server?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1988","How do you configure an Ethernet interface as the direct access interface for Direct Cloud Access in the SaaS-DCA environment?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"3568","How can we mark MPLS packets with a specific Experimental value according to the QoS (Quality of Service) policy?","QOS","coincidencia","QOS","","",""
"1032","What is the value of `max-bundle` that should be configured on the DHD to ensure maximum reliability in case of link failures?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"3609","How can you configure egress policing and marking on port-channel member links?","QOS","coincidencia","QOS","","",""
"170","How can I schedule an IP SLAs operation with a specific group number, operation numbers, and life duration?","MONITORING","coincidencia","MONITORING","","",""
"1501","How can you enable the Inter-Switch Link (ISL) for VLAN subinterfaces and set primary or secondary IP addresses for interfaces?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"463","How can we enable connectivity between IPv4 and IPv6 hosts when implementing stateless NAT?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"907","How do you configure a port channel and set the channel group mode?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"2417","How can you match the Internet Control Message Protocol (ICMP) on a Windows system using the `traceroute` command, and configure an out-to-in zone-based policy with ICMP time-exceeded and host unreachable commands using the `pass` command in Cisco IOS XE Release 3.1S?","SECURITY","coincidencia","SECURITY","","",""
"4211","How do you enable QoS group-based LLQ for IPsec encryption engines?","QOS","coincidencia","QOS","","",""
"2564","In an asymmetric routing scenario, what configuration is required to ensure that the redundancy interface identifier (RII) maps correctly to interfaces, route groups (RGs), and applications?","ROUTING","coincidencia","ROUTING","","",""
"1906","What are the IPsec profile configurations for DMVPN on a Cisco device?","SECURITY","coincidencia","SECURITY","","",""
"3181","How can we enable 6VPE support in MPLS over DMVPN phase 2 for the hub by configuring VRF, Tunnel, IPsec Tunnel Protection, WAN Facing Interface, Transport Routing, and Overlay Routing?","ROUTING","coincidencia","ROUTING","","",""
"4479","What is the police rate configuration for VoIP traffic in the given policy-map?","QOS","coincidencia","QOS","","",""
"112","How can you set the timeout for an IP SLAs Ethernet operation to 10 seconds?","MONITORING","coincidencia","MONITORING","","",""
"1042","How do you configure a port channel and its interface?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1993","How can we configure the application SaaS to connect to the Servicenow domain?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"4520","What is the policing configuration for traffic exceeding the threshold in the ""class-default"" class of the ""parent-policy"" policy map?","QOS","coincidencia","QOS","","",""
"497","What type of address pooling is supported by Cisco routers in both classic and carrier-grade NAT modes?","ROUTING","coincidencia","ROUTING","","",""
"1519","What configuration command would you use to configure periodic MIB data collection and transfer mechanism with retry attempts for file transfers?","MONITORING","coincidencia","MONITORING","","",""
"1131","What are the features of VxLAN GPE tunnel in this configuration?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1520","How can I configure Cisco router to support all Cisco implemented MIBs for error reporting and statistics during data collection and transfer?","MONITORING","coincidencia","MONITORING","","",""
"510","How can we optimize the High-Speed Logging in Bulk Logging and Port Block Allocation to reduce the volume of NAT high-speed logging?","MONITORING","coincidencia","MONITORING","","",""
"3510","What are the classification statistics and criteria for the video class in this Cisco network configuration?","QOS","coincidencia","QOS","","",""
"1921","How can I configure a DMVPN tunnel from BR84 to DMVPN1 (MPLS) using NHRP and multipoint GRE encapsulation?","ROUTING","coincidencia","CONNECTIVITY","","",""
"3345","How do you configure HSRP with MIB trap support functionality on two devices, with Device A having a higher priority level and enabling preemption?","ROUTING","coincidencia","ROUTING","","",""
"2923","How do you specify the IP address or hostname of the system to which the exporter sends data in Cisco IOS configuration?","MONITORING","coincidencia","MONITORING","","",""
"4056","How can I enable MQC (Match-All) based on transport hierarchy and configure the necessary protocols and class maps for an in-app-hierarchy?","QOS","coincidencia","QOS","","",""
"2779","How can I configure firewall session table protection for a VRF (Virtual Routing and Forwarding) domain?","SECURITY","coincidencia","SECURITY","","",""
"4245","How can we enable PGM Router Assist on a vif interface?","ROUTING","coincidencia","ROUTING","","",""
"756","What are the maximum OAM PDU size settings for receipt and delivery, as well as rate limiting configuration, to control bandwidth allocation for OAM traffic on our Cisco device?","QOS","coincidencia","QOS","","",""
"3650","How can we configure class-based policing to mark RTP traffic with COS 3 if it exceeds the configured rate, while dropping any other excess traffic?","QOS","coincidencia","QOS","","",""
"2353","How do you enable privileged EXEC mode and configure IKE authentication using a crypto keyring and preshared key in Cisco router?","SECURITY","coincidencia","SECURITY","","",""
"2571","How to configure Asymmetric Routing with Redundant Interface Identifier (RII) on both active and standby devices?","ROUTING","coincidencia","ROUTING","","",""
"698","How can you enable IP connectivity on a point-to-point WAN interface without assigning an IP address?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"887","How can you verify connectivity with port tagging configured on the GigabitEthernet0/2 interfaces?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"38","How do you configure IP SLA operations for multicast jitter measurements?","MONITORING","coincidencia","MONITORING","","",""
"4210","What configuration can be used to enable IPsec QoS policies for IPv6 traffic?","QOS","coincidencia","QOS","","",""
"1689","How can we secure the AAA Double Authentication mechanism in our network connections?","SECURITY","coincidencia","SECURITY","","",""
"155","How can we add proactive threshold conditions and reactive triggering for generating traps or starting another operation to an IP Service Level Agreements (SLAs) operation?","MONITORING","coincidencia","MONITORING","","",""
"778","How can you disable high threshold link monitoring for receive CRC errors on the Ethernet OAM interface?","MONITORING","coincidencia","MONITORING","","",""
"1216","What is the configuration for the Loopback interfaces that must be routed throughout the PIM domain to allow communication with the RP?","ROUTING","coincidencia","ROUTING","","",""
"832","How do you define a CFM (Connectivity Fault Management) maintenance domain at a particular level?","MONITORING","coincidencia","MONITORING","","",""
"3","How do I configure the IP Service Level Agreement (SLA) feature on an ASR 920 platform to measure network performance?","MONITORING","coincidencia","MONITORING","","",""
"3401","How do I enable RTP header compression in Cisco IOS?","QOS","coincidencia","QOS","","",""
"3419","What are the steps to implement AAA security services with TACACS+ for PAP authentication on a serial interface?","SECURITY","coincidencia","SECURITY","","",""
"1901","How can we configure the IP address and speed settings for GigabitEthernet interfaces?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"2948","What is the total number of packets sent by the client?","MONITORING","coincidencia","MONITORING","","",""
"3452","How to implement QoS using policy-maps and class-maps in Cisco IOS XE Gibraltar to limit the voice traffic to 10 Mbps for parent-vlan100 and 5 Mbps for parent-vlan200?","QOS","coincidencia","QOS","","",""
"703","How can we configure an IP address with a 31-bit prefix on a point-to-point interface when IP classless addressing is enabled?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1163","What are some examples of multicast address ranges that can be used for predictable behavior and address reuse within smaller domains?","ROUTING","coincidencia","ROUTING","","",""
"359","What type of traffic does not support asymmetric routing in Interchassis Asymmetric Routing Support for Zone-Based Firewall and NAT?","SECURITY","coincidencia","SECURITY","","",""
"882","Question: How can you apply an IP access list to an interface in Cisco IOS?","SECURITY","coincidencia","SECURITY","","",""
"3448","What is the correct command syntax to create a class-map with match-all semantics in Cisco IOS?","QOS","coincidencia","QOS","","",""
"1025","How can you configure the highest LACP priority and specify system MAC address and system priority values for a given redundancy group in Cisco IOS Release 12.2(33)SRE?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1822","How can we configure the point-to-point interface to reset immediately after an authentication failure or within a specified number of authentication retries?","SECURITY","coincidencia","SECURITY","","",""
"720","How can we configure a non-owner interface to automatically receive an IP address from the connected neighbor device, and the owner interface to be assigned a preconfigured auto-IP address with an odd number in the last octet?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"4172","How can we increase the maximum number of packets tracked by the IPsec Anti-Replay feature in our Cisco router configuration?","SECURITY","coincidencia","SECURITY","","",""
"563","How can we dynamically translate multicast addresses using Cisco IOS?","ROUTING","coincidencia","ROUTING","","",""
"156","How can you measure the round-trip time (RTT) between a Cisco device and an HTTP server for DNS lookup, TCP connection, and HTTP transaction to retrieve a web page?","MONITORING","coincidencia","MONITORING","","",""
"431","How can you configure Dynamic Stateful Network Address Translation 64 (DS-Lite) to translate IPv6 addresses to IPv4 addresses on a Cisco device?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1651","How can you configure RADIUS authentication and authorization on Cisco IOS XE software to provide login, PPP, EXEC, and network authorization?","SECURITY","coincidencia","SECURITY","","",""
"1694","How can we implement a throttling mechanism for controlling packets at the NAS level to improve RADIUS server performance?","QOS","coincidencia","QOS","","",""
"1966","How can we enable PfRv3 Remote Prefix Tracking feature to learn the prefix of a remote device from the Routing Information Base (RIB) table in Cisco IOS?","ROUTING","coincidencia","ROUTING","","",""
"552","What is the timeout value for SIP ALG resilience to DoS attacks?","SECURITY","coincidencia","SECURITY","","",""
"394","How do you configure outside dynamic NAT with MPLS VPNs?","ROUTING","coincidencia","CONNECTIVITY","","",""
"3857","What are the configuration settings for channel-based measurement on the Cisco device?","MONITORING","coincidencia","MONITORING","","",""
"1707","How can we minimize the impact of AAA authentication and authorization by caching responses for given users on the router?","SECURITY","coincidencia","SECURITY","","",""
"3451","How can you differentiate traffic for voice, video, and YouTube classes in a policy-map and apply actions like priority, police, and bandwidth?","QOS","coincidencia","QOS","","",""
"580","How can you configure the device to forward multicast traffic when there are no directly connected IGMP hosts?","ROUTING","coincidencia","ROUTING","","",""
"3654","How do you configure QoS Packet Policing with Dual-Rate and Three-Color Policer in Cisco router?","QOS","coincidencia","QOS","","",""
"3688","How does the visible bandwidth of a queue depend on the configuration commands used?","QOS","coincidencia","QOS","","",""
"1810","How can you configure the Login Password Retry Lockout feature to lock out a local AAA user account after a certain number of unsuccessful login attempts?","SECURITY","coincidencia","SECURITY","","",""
"2831","What is the purpose of configuring vTCP on a firewall?","SECURITY","coincidencia","SECURITY","","",""
"4297","How can we maintain counts, rates, and bytes of received, dropped, and forwarded multicast packets?","MONITORING","coincidencia","MONITORING","","",""
"3361","What are the steps to configure VRRP (Virtual Router Redundancy Protocol) on routers in a group?","ROUTING","coincidencia","ROUTING","","",""
"73","How can we enable IP SLAs Cisco Packet Processor (CPP) time stamping to improve the accuracy of IP SLAs UDP jitter operations on our Cisco ASR 1000 Series routers?","MONITORING","coincidencia","MONITORING","","",""
"1941","How do you configure an internet-bound interface with specific attributes for Internet Service Providers (ISPs) using Cisco IOS XE?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"2134","What is the configuration of the RSA key pair used for general purpose and encryption usage in our network?","SECURITY","coincidencia","SECURITY","","",""
"1491","What is the configuration used to define the route-target extended community for a VRF?","ROUTING","coincidencia","ROUTING","","",""
"2327","What is the correct way to configure the DH group identifier for IPSec SA negotiation in Cisco IOS?","SECURITY","coincidencia","SECURITY","","",""
"678","How can we establish a tunnel between the source IP address 9.1.90.97 and the destination IP address 9.1.89.97, specifying the key as 5 and UDLR settings for sending only data over GigabitEthernet2/3/0 while also enabling address resolution?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"2383","What is the correct command to set up an IPsec VPN with the specified configurations and parameters?","SECURITY","coincidencia","SECURITY","","",""
"1287","When processing an incoming (*, G) Join in a PIM-enabled network, how can we ensure that receiving devices use their own RP if it differs from the one specified in the join message?","ROUTING","coincidencia","ROUTING","","",""
"1094","How do I enable Ethernet CFM AIS link status globally?","MONITORING","coincidencia","MONITORING","","",""
"3446","How do you configure class-maps to classify traffic into different classes, such as voice and video, on a Cisco ASR 1000 Series Aggregation Services Router?","QOS","coincidencia","QOS","","",""
"2011","How can we configure prefix updates for multiple IP addresses from a specific source address in Cisco IOS?","ROUTING","coincidencia","ROUTING","","",""
"111","What is the default value for IP SLAs Ethernet ping operations?","MONITORING","coincidencia","MONITORING","","",""
"2273","How do you configure the Source Interface Selection for Outgoing Traffic with Certificate Authority using FastEthernet 1 as the outside interface connected to the Internet Service Provider (ISP) on a Cisco router?","SECURITY","coincidencia","SECURITY","","",""
"737","How can you configure Auto-IP functionality on node interfaces to include them in an Auto-IP Ring?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1823","What is the authentication method configured for the specified interface?","SECURITY","coincidencia","SECURITY","","",""
"3081","What is the minimum number of connections required to form a tunnel between each cluster and the spoke in the given configuration?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"3521","How does the Max value of the Parent's Schedule Entry affect Bandwidth Sharing in a Cisco IOS configuration?","QOS","coincidencia","QOS","","",""
"1907","What is the NHRP map for Tunnel100 and what is the next hop IP address?","ROUTING","coincidencia","ROUTING","","",""
"963","How can you configure a port channel group number and enter interface configuration mode?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"3667","What is the configuration command to set the offered rate to 13,000 bps and drop rate to 0 bps for the default class, and attach the police-percent policy to a POS OC3 interface?","QOS","coincidencia","QOS","","",""
"4564","How can we ensure that certain types of network traffic are given priority over others when entering the network?","QOS","coincidencia","QOS","","",""
"3450","What are the traffic priorities and rate limiting configurations for the ""voice"" class in the ""simple-example"" policy-map?","QOS","coincidencia","QOS","","",""
"2087","How do you configure the trustpoint for the certificate authority (CA) to disable nonces in communications with the OCSP server?","SECURITY","coincidencia","SECURITY","","",""
"3893","What conditions must be met for a gateway to be considered reachable and routes to be installed in the RIB?","ROUTING","coincidencia","ROUTING","","",""
"3169","What is the subnet mask for the directly connected network on Ethernet1/0?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"675","What is the purpose of GigabitEthernet1/0/0 interface in this configuration?","CONNECTIVITY","coincidencia","CONNECTIVITY","","",""
"1523","How can I export the packet capture in PCAP format suitable for analysis using any external tool?","MONITORING","coincidencia","MONITORING","","",""
"1213","What can be done to ensure consistent RP selection between Cisco and non-Cisco routers in a PIM Version 2 BSR environment?","ROUTING","coincidencia","ROUTING","","",""
"3537","How can you implement a hierarchical policy for GigabitEthernet1/0/0 to manage traffic based on class-maps and service policies?","QOS","coincidencia","QOS","","",""
"13","What happens to one-way delay measurements when time synchronization is not required for one-way jitter and packet loss measurements in Cisco IOS?","MONITORING","coincidencia","MONITORING","","",""
"4091","How can we configure our router to dynamically monitor critical applications and collect detailed Layer 7 metrics for fine-grained NBAR (Network-Based Application Recognition) in selective applications?","MONITORING","coincidencia","MONITORING","","",""
"133","What are the scheduling parameters that can be configured for an individual IP SLAs operation?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"3334","What is the correct configuration command to prevent any HSRP state change and ensure the active device's key string is changed no later than one hold-time period after nonactive devices?","ROUTING","desacuerdo","ROUTING","ROUTING","SECURITY","ollama"
